tree,dbh,tht,lcl,fol,bch,brk,stm,tab
4,45.8,31.6,11.1,37,85,164,953,1239
5,23.1,22.1,11.2,5,7,32,188,232
12,54.9,33.3,16.5,52,111,241,1401,1805
28,36.7,32.1,12.2,23,56,115,665,858
33,58.5,36,17.1,71,148,294,1706,2220
34,43,30.9,14.1,28,31,140,813,1011
57,59.6,34.1,18.8,85,152,282,1636,2154
64,45.7,27.8,12.6,28,48,129,749,954
65,36.1,27.9,11.7,30,54,99,574,757
76,42.5,31.1,14.4,40,48,137,797,1021
83,37.2,27.8,8.5,8,18,91,530,648
91,42.4,32,21.5,49,76,136,787,1048
106,62.5,35,22.5,102,202,326,1890,2520
115,72.2,34.9,20.4,97,265,385,2236,2983
117,53,32.2,17.2,47,93,205,1190,1535
118,80.3,35.9,24.3,107,347,434,2517,3404
123,48.9,31.2,18.7,56,156,170,989,1371
126,26.6,21.9,8.7,10,23,42,246,321
129,49.2,30.6,14.6,38,94,170,989,1291
138,33.3,25.4,10.4,10,32,66,383,491
142,63.6,32.8,20.4,70,197,298,1728,2293
148,29.7,21.9,13.3,11,18,46,267,341
150,49.5,29.9,14.9,61,151,168,978,1358
153,31.8,20.1,10.2,8,26,47,274,356
155,58.9,32.1,16.2,74,141,263,1526,2003
158,34.8,25,16.5,31,65,71,409,576
161,59.1,31.9,27.6,80,217,201,1168,1666
168,25.8,21.1,16.3,17,25,35,201,278
172,33,23.9,9.6,11,32,64,371,478
182,47,25.6,16.6,38,93,125,723,979
185,28.6,23.4,14.2,16,25,47,273,361
186,54,29.4,23.3,80,183,175,1018,1457
